Lebensmittel schuld an europäischer Inflation	Food: Where European inflation slipped up	Food is to blame for European inflation
In diesem Lied geht es um mehr.	That song is about much more.	There is more to it than that.
Es war als Finale des Albums gedacht, mit dem wir die Klangorgie und die etwas schwierigeren Themen auflösen wollten.	We intended it to wrap up the album, to try to lighten up the orgy of tone and the tougher themes earlier in the CD.	It was intended to be the end of the album, with which we wanted to break the cycle and the rather more difficult issues.
hvg.hu: Wie hast du die sechs Sängerinnen ausgewählt?	hvg.hu: How did you choose the six female singers?	Hvg.hu: how did you choose the six scoundrels?
Warum gerade sie, was war das Leitprinzip?	Why did you pick the voices you did - what was your guiding principle?	Why was it, what was the guiding principle?
B. Zs.: Der Grundgedanke war, einen Gospel-artigen Chor zu machen.	B.Zs.: The idea was to have a sound like a gospel choir.	The idea was to make a Gospel-like chorus.
Dann kam die Idee, den Chor aus begabten Solisten der heimischen Musikszene zusammenzustellen.	It occurred to us to put the choir together using soloists from the domestic music scene who sing really well.	Then came the idea of putting the chorus of talented soldiers from the local music couses.
So ist der sechsköpfige Chor entstanden - also Sena, Edina Kutzora, Judie Jay, Bori Péterfy, Enikő Hodosi [Neo], Juci Németh -, den wir dann apäter "Underground Divas" getauft haben.	That gave us the six-voice choir - of Sena, Edina Kutzora, Judie Jay, Bori Péterfy, Enikő Hodosi [Neo], and Juci Németh -, whom we simply named Underground Divas.	The six-pie chorus has been created - Sena, Edina Kutzora, Juder Jay, Bori Péterfy, Enikő Hodosi [Neo], Juci Németh - which we then bought in the late Underground Divas.
hvg.hu: Wolltest du das Lied genauso haben, oder haben es die Mädchen mitgestaltet?	hvg.hu: Is the result exactly as you envisioned it, or did the girls play a role in shaping the sound?	Hgg.hu: did you have the song in the same way, or did the girls have a hand in shaping it?
B. Zs.: Die Nummer gab es schon länger in der Instrumentalversion, aber als das Material für das Album fertig war, dachten wir uns, dass diese Nummer noch "etwas braucht".	B.Zs.: We had had an instrumental version of it for quite some time. But then, when we were putting the CD together, we got the feeling that we needed to add something.	The number was in the instrumental version long ago, but when the material for the album was ready, we thought that this number was' needed something '.
Die Akkordenabfolge hat förmlich nach einer Gesangsstimme verlangt.	The chordal sequence was crying out for a vocal section.	The order of the law has formally demanded a gestures.
Ich habe die Melodie noch in derselben Nacht eingesungen, später haben sie die Mädchen gelernt.	I sang the melody onto the instrumental that day, and that was how the girls learned it afterwards.	I saved the meloden the same night, and later they learned the girls.
Es kam alles praktisch auf Anhieb und erschreckend spontan.	The whole thing came to me all at once and it was shockingly spontaneous.	It all came almost at first and terrifyingly spontaneous.
Ich kann mich erinnern, ich war damals ziemlich elektrisiert, aber es hat schon auch der "Divas" bedurft.	I remember being totally excited by it at the time, but the Divas really were necessary to make it work.	I remember being fairly electrified then, but the divas was needed.
Mit meiner Stimme allein wäre das Lied nie so kräftig geworden.	It never would have been this powerful in my voice.	With my vote alone, the song would never have been so strong.
hvg.hu: Sowohl auf der Platte, als auch beim Konzert hatte man aber den Eindruck, die Mädchen wären im Hintergrund.	hvg.hu: The girls appeared to be secondary, on both the disc and at the concert.	Hg.hu: on the record and on the concertation, however, it was felt that girls were in the background.
Es gibt keinen Solo-Part (abgesehen vom kurzen Solo von Judy Jay), sie haben keine eigene Rolle, singen vollkommen zusammen und sind nicht lauter, als die Musik, also wird ihr Gesang von der Musik nicht nur begleitet.	There is no solo (excepting Judy Jay's tiny one), they have no separate role, they sing completely in unison and they don't outsing the music, so it's not as though they were singing to subordinate musical accompaniment.	There is no Solo-part (apart from the short Solo of Judy Jay), they do not have their own role, they sing together completely and are not louder than music, so their song is not only accompanied by music.
Auch auf der Bühne standen sie hinten.	On stage, they stood at the back.	They were also on the scene.
Ist es Absicht?	Was all that deliberate?	Is it intended?
B.Zs.: Dass sie hinten gestanden sind, war wegen rein technischer Probleme so.	B.Zs.: The reason why they stood at the back of the stage was because of technical problems.	B.Zs@@. that they were standing in the back was because of purely technical problems.
Allerdings wollten wir ihnen bewusst keine Solo-Rollen zukommen lassen.	But not distributing solos was deliberate.	However, we deliberately did not want to give them a role of colossus.
In der Nummer geht es auch darum, dass man sein Ego ein wenig vergessen soll, vergessen, wer woher gekommen und wohin unterwegs ist, lassen wir einfach zu, dass uns diese bestimmten Flügel, die Flügel der Liebe emporheben.	The whole number was about forgetting our egos for a time, not caring who came from where and where they are headed, and simply letting those wings, the wings of love, lift us up.	The number also involves forgetting his ego a little, forgetting who came from where and where, we are simply allowing these particular wings, the wings of love, to take us up.
Ich hätte gern, dass auch andere diesen euphorischen Zustand spüren, den wir gespürt haben, als das Lied entstanden ist.	I wanted others to also get the feeling of the euphoria we went through when the song was born.	I would like others to feel the euphoria that we felt when the song was born.
hvg.hu: Welches war das aufwendigste Lied?	hvg.hu: Which one gave you the most work?	Hvg.hu: what was the most expensive song?
B. Zs.: Bei der musikalischen Schaffensarbeit eigentlich gar keines, es hat eher beim Mixen schwierigere Aufgaben gegeben.	B.Zs.: None really, as far as the process of musical creation was concerned - but some of them gave us a hard time with the arrangement.	For example, there was no such thing as musical creature work, and rather more difficult tasks were involved in Mixing.
Zum Beispiel bei "Dorian Gray's Dilemma", in dem ich auf einem Konzertklavier spiele, oder bei "Rock'n'Roll Goes To The Girls", wo der Groove länger nicht funktionieren wollte, doch nach und nach hat sich alles zusammengefügt, wie bei einem Puzzle.	For instance Dorian Gray's Dilemma, where I play on a concert piano, or Rock'n'Roll Goes To The Girls, where the groove didn't want to work for the longest time - but everything eventually ended up fitting, kind of like a jigsaw puzzle.	For example, in the case of Dorian Gray's dilemma, where I play four in a concert classroom, or in the case of Rock 'n 'Roll Goes to The Girls, where the Groove did not want to work for longer, but gradually everything has been merged, as in the case of a puzzle.
hvg.hu: Welches ist deine Lieblingsnummer vom neuen Album?	hvg.hu: What's your own favourite number on this CD?	Hvg.hu: what is your favourite number from the new Album?
B. Zs.: Das verändert sich mit den Konzerten laufend und auch jetzt, wo ich das Album "losgelasssen" habe.	B.Zs.: That keeps changing with every concert, especially now that I've already let go of the CD.	The second is that this is constantly changing with the concert and also now that I have the album 'relaxed'.
Derzeit sind es "Prophet Is A Fool", "Escape From The Earth" und die Nummer "Never The Same".	At the moment it's Prophet is A Fool, Escape from the Earth, and Never the Same.	At present, it is' prophet is A Fool ',' Escape from The Earth 'and the number' Never The Same '.
Betrügerischer Makler riskierte wegen Minderwertigkeitsgefühlen Milliarden	Deceiving Broker Ventured Billions due to Inferiority Complex	Fraud brokers risked billions because of inferiority.
Bodenloser Betrüger	A perfidious embezzler.	Soil fraudsters
So bezeichnet seinen ehemaligen Angestellten Jerome Kerviel der französische Bankenriese Société Générale, Besitzer der hiesigen Komerční banka.	This is how the French banking giant Société Générale, the owner of the local Komerční banka (Commerce Bank), labels its ex-employee Jerome Kerviel.	For example, his former employee, Jerome KerMuch, is called the French banking giant Société Générale, owner of the local Comerční banka.
Sie kam nämlich seinetwegen um fast fünf Milliarden Euro.	On his account it has lost almost five billion Euro.	It was almost EUR 5 billion in its wake.
Es scheint aber eher so, dass Kerviel nur ein großer Spieler war, der es seinen Kollegen gleich tun wollte, darüber hinaus sicher nicht unfähig war.	More likely, it seems that Kerviel was just a big gambler who wanted to match his colleagues, and, moreover, definitely not an unqualified one.	It seems, however, that Kermass was only a great player who wanted to do the same to his colleagues, and was certainly not incapable of doing so.
Zum Unterschied zu allen großen Bankhäusern erkannte er rechtzeitig die Krise am amerikanischen Hypothekenmarkt.	Unlike all the big banking houses, he recognized the crisis at the American mortgage market in time.	To make a difference from all major banking establishments, he recognised the crisis on the US mortgage market in time.
"Er ist psychisch eher schwach," war aus dem Mund seiner Vorgesetzten zu hören, die ihn bei der Polizei anzeigten.	"He is psychologically weak," were the words of his superiors, who directed the police to him.	'He is psychologically weak 'was heard from the mouths of his superiors, who denounced him in the police.
Wie aber aus den Aussagen Kerviels hervorgeht, die die französischen Medien, zum Beispiel die Tageszeitung Le Monde, veröffentlichten, war er ein Mensch, der Ende letzten Jahres mit seinen Geschäften Gewinne in Höhe von 1,6 Milliarden Euro erzielt hatte.	But, as follows from Kerviel's testimony, which has been published by French media, e.g. the Le Monde journal, he was a man who gained 1.6 billion Euro from his transactions by the end of last year.	However, as Mr Kerviels's report, which was published by the French media, for example the newspaper Le Monde, shows, he was a man who made profits at the end of last year in his business, to the tune of EUR 1.6 billion.
Krise nicht nur in Amerika	A Crisis Not Only in the U.S.	Crisis not only in America
"Alles, was ich wollte, war für meine Bank Geld zu verdienen," behauptet er in seiner Aussage.	"All I ever wanted was to gain some money for my bank," he claims in his testimony.	He said, 'Everything I wanted was money for my bank'.
Im Sommer war es ihm gelungen, gerade an der amerikanischen Krise eine halbe Milliarde Euro zu verdienen.	In the summer he managed to gain a half billion Euro from this American crisis.	In the summer he managed to earn half a billion euros, particularly in the wake of the American crisis.
Die Gelegenheit dazu hatte er nämlich schon am Jahresanfang erspäht.	He had found the opportunity at the beginning of the year.	He had already missed the opportunity to do so at the beginning of the year.
Im Februar gab es schon erste Nachrichten darüber, dass sogenannte Sub-Prime-Hypotheken, wie sie einkommensschwachen Kunden oder solchen, die schon früher Abzahlungsprobleme hatten, gegeben werden, in Schwierigkeiten geraten würden.	The news appeared in February that the so-called sub-prime mortgage loans, provided to low-income clients or to those who had problems with paying them off in the past, are going to have problems.	In February, there was already the first news that so-called sub-prime mortgages, such as those given to low-income customers or those who had previously had problems with paying out, would be in difficulty.
Einfluss auf die ganze Wirtschaft sollte diese Krise aber nicht haben.	Nevertheless, the crisis should not have influenced the entire economy.	However, this crisis should not affect the whole economy.
Kerviel glaubte das nicht und behielt Recht.	Kerviel did not believe this and it was the right bet.	That was not what we thought and was right.
Am Jahresende hatte er seinen Gewinn bis auf 1,6 Milliarden Euro hochgeschraubt.	By the end of the year, his profit had climbed to 1.6 billion Euro.	At the end of the year, he had increased his profits to EUR 1.6 billion.
"Schon als ich die erste halbe Milliarde verdient hatte, wusste ich nicht, wie ich das erklären sollte," gibt Kerviel zu und sagt weiter, dass er definitiv nichts für sich selbst behalten habe.	"Even when I gained the first half billion, I didn't know how to announce it," admits Kerviel and adds that he definitely didn't keep any of it for himself.	'Even when I earned the first half billion, I did not know how to explain it ', says Kerlot and goes on to say that he definitely did not hold anything for himself.
Während des ganzen Verhörs gibt er zu, dass er Unterlagen gefälscht hat, damit man ihm nicht auf die Schliche käme.	Throughout the entire hearing he has admitted that he forged the records so that he would not be revealed.	Throughout the hearings he admits that he has falsified documents so that he would not be treated as a villain.
Es gelang ihm sogar, seine Chefs hinters Licht zu führen, auch wenn sich allmählich die Eurex-Börse für seine Geschäfte interessierte.	He managed to deceive his superiors, even though the Eurex Exchange became interested in his affairs.	He even managed to fool his bosses, even though the Eurexir exchange started to take an interest in his business.
Risikoprofit	Nothing ventured, nothing gained.	Risk profit
Befürchtete er aufzufliegen?	Was he afraid that he would be discovered?	Did he fear flying up?
Wohl kaum.	Rather not.	I hardly think so.
"Ich dachte, dass sie die schlichte Tatsache, dass ich für die Bank 1,6 Milliarden verdient habe, zufriedenstellt."	"I thought that the simple fact of my gaining 1.6 billion for the bank would satisfy them.	'I thought it satisfied the simple fact that I earned 1.6 billion for the bank '.
Woher nahm er den Mut, so viel zu riskieren?	Where did he get the will to risk that much?	Why did he have the courage to risk so much?
Er musste sich seine Position schrittweise erarbeiten.	He had to work up to his position gradually.	He had to work his position gradually.
In die Société Générale trat er im Jahr 2000, unmittelbar nachdem er sein Studium an der Universität Lyon beendet hatte, ein.	He entered Société Générale in the 2000, immediately after he had finished his university studies in Lyon.	He joined the Société Générale in 2000, immediately after he had finished his study at the University of Lyon.
Sein Jahresgehalt betrug etwa 51000 Dollar.	His annual income was around $51,000.	Its annual salary was around USD 5000.
Nach zwei Jahren war er bereits Assistent eines Maklers und im Jahr 2005 wurde er selbstständiger Makler mit einem Jahresgehalt von 90000 Dollar.	Two years later, he was already an assistant to the broker, and in 2005 he became an independent broker with an annual income of $90,000.	After two years, he was already an assistant of a macabre and in 2005 he became a self-employed broker with an annual salary of USD 90.000.
Dennoch wusste er, dass er nie so viel verdienen werde wie andere.	Still he knew he would never earn as much as the others.	However, he knew that he would never earn as much as others.
"Schon bei meinem ersten Gespräch im Jahr 2005 wusste ich, dass man mich beobachtete.	"As early as during my first interview in 2005, I knew they despised me.	'I knew at my first conversation in 2005 that I was being watched.
Wegen meiner Ausbildung und auch wegen meiner beruflichen und persönlichen Entwicklung," erklärte Kerviel den Untersuchungsbeamten.	Because of my education, and also for my professional and personal development," Kerviel described the situation to the investigators.	My training and also my professional and personal development 'explains the words of Kerlot to the investigative officers.
Aber schon bald nach seinem Eintritt kam der erste große Erfolg.	But soon after Kerviel entered his career, the first big success followed.	But soon after he came in, the first great success was achieved.
Mit den Aktien der Allianz verdiente er viel, indem er bei den Londoner Bombenanschlägen eine halbe Milliarde Euro auf Kursverluste dieses Titels setzte.	Thanks to the Allianz shares he gained; during the London bombings he bet a half billion Euro that they would fall.	He earned a lot with the Alliance's shares by spending half a billion euros on this title's depreciation in the London bomb attacks.
Und das war der Auslöser - jetzt wollte er mehr.	And that was the trigger mechanism - he wanted more.	And that was the starting point - now he wanted more.
Solang du Gewinn machst, lassen wir dich	As Long as You Gain, We Let You	If you make that profit, let us leave you.
"Das ist wie ein Schneeball," sagte er den Polizisten.	"It's like a snowball," he told the police.	'It is like a snow ', he said to the policeman.
Aber die Chefs wussten angeblich von allem, beziehungsweise ahnten es.	But his superiors are said to have known, or rather suspected the whole thing.	But the leaders were supposed to know everything, or even know it.
"Solange ich Geld verdiente, schloss man die Augen."	"As long as I was earning money for them, they pretended not to see."	'As long as I earned money, you closed your eyes'.
Doch dann kam am Anfang dieses Jahres der große Schlag.	But then, at the beginning of the year, a blow came.	But then the big blow came at the beginning of this year.
An einem einzigen Tag verlor er eine Milliarde Euro.	In a single day, he lost 1 billion Euro.	In one day he lost a billion euros.
An einem Wochenende Mitte Januar wollte er das ausgleichen.	He wanted to expunge the whole thing after the weekend in the middle of January.	He wanted to make up for this at a weekend in mid-January.
Als er am Montag zur Arbeit kam, war er schon nicht mehr Angestellter der Bank.	When he came to the office on Monday, he was no longer employed by the bank.	When he came to work on Monday, he was not a bank employee.
Und ein paar Tage später verkündete die Bank, dass sie seinetwegen fünf Milliarden Euro verloren habe.	And a few days later, the bank announced it had lost 5 billion Euro because of him.	And a few days later, the bank announced that it had lost EUR 5 billion at that time.
Und wie kamen sie ihm auf die Schliche?	So how did they uncover him?	And how did they find him ashamed?
Verdächtig machte er sich durch einen Urlaub.	He became suspicious through his vacations.	He was suspected of having taken his leave.
"Ich habe nur vier Tage vom Vorjahr genommen.	"I took only four days out of the last year.	'I took only four days from last year.
Ein Makler, der keinen Urlaub nimmt, ist einer, der nicht will, dass man ihm in die Karten schaut," sagte Kerviel abschließend.	A broker who does not take vacations is a broker who does not want anybody to look into his records," Kerviel concluded.	A broker who does not take a holiday is one who does not want to be seen in his maps', KerMuch said in conclusion.
Tschechien hat die Chance, zu 365 Milliarden zu kommen	Czech Republic has chance to get 365 billion.	The Czech Republic has the chance to get EUR 365 billion.
Tschechische Minister und Vertreter der Europäischen Kommission unterzeichneten gestern insgesamt neun Entwicklungsprogramme, durch die die Tschechische Republik in den nächsten Jahren zu 14 Milliarden Euro (etwa 365 Milliarden Kronen) kommen kann.	The ministers of the Czech Government, together with the representatives of the European Union, signed nine operational programs yesterday, from which the Czech Republic can acquire 14 billion Euro (approximately 365 billion Czech crowns) in the following years.	Czech ministers and representatives of the European Commission signed a total of nine development programmes yesterday, which will enable the Czech Republic to come to EUR 14 billion (approximately 365 billion kronor) over the next few years.
Es geht hier ungefähr um die Hälfte der Summe, die Tschechien in den Jahren 2007 bis 2013 überhaupt aus Brüssel erhalten kann.	This is roughly half the total sum the Czech Republic can acquire from Brussels during the years 2007 to 2013.	This is about half the amount that the Czech Republic can get from Brussels in the years 2007-2013.
Etwa 125 Milliarden Kronen kommen aus sieben Regionalentwicklungsprogrammen.	Approximately 125 billion Czech crowns will move from seven operational programs into the regions.	Some 125 billion kronor come from seven regional development programmes.
Tschechische Firmen werden etwa 100 Milliarden Kronen aus dem Programm "Unternehmen und Innovation" zugeteilt bekommen können.	Czech companies will be able to gain about 100 billion Czech crowns from the Enterprise and Innovation program.	Czech firms will be able to get around 100 billion kronor from the Enterprise and Innovation Programme.
Am meisten Geld, ungefähr 150 Milliarden, wird in den Verkehrsausbau fließen.	Most of the money, up to 150 billion, will be directed into transportation.	The greatest amount of money, some 150 billion, will go to the development of transport.
Das Verkehrsprogramm ist das größte Entwicklungsprogramm und umfasst bis zu 22 Prozent der Mittel, die Tschechien aus dem Fonds erhalten kann.	The Transportation program is the biggest operational program, it represents almost 22 percent of the resources which the Czech Republic can obtain from the funds.	The transport programme is the largest development programme and covers up to 22% of the funds that the Czech Republic can receive from the fund.
Dieses Geld erhöht entsprechend den Haushalt des Staatlichen Verkehrsinfrastrukturfonds, der nächstes Jahr über 90,8 Milliarden verfügen wird.	This money will increase the budget of the State Fund for Transportation Infrastructure, which will be managing a sum of 90.8 billion Czech crowns next year.	This money is increased in line with the budget of the State Transport Infrastructure Fund, which will have EUR 90.8 billion next year.
Das Programm "Unternehmen und Innovation" soll Unternehmern und Firmen dazu dienen, Geldmittel zu innovativen Unternehmungen zu gewinnen.	The Enterprise and Innovation program ought to serve the entrepreneurs and companies to gain the resources for innovation business.	The 'Enterprise and Innovation' programme is intended to serve entrepreneurs and companies to attract funds for innovative undertakings.
Die Firmen sollen dadurch Finanzen für die Einführung neuer Technologien, für Unternehmensforschung, aber auch für die Einführung effektiverer Organisationsmethoden gewinnen.	Companies should obtain financial resources for the introduction of new technologies, for the industrial research, but also for the introduction of more effective methods of organization.	This should give companies the financial means to introduce new technologies, to carry out business research, and also to introduce more effective organisational methods.
Bei der bisherigen Geld-Aquisition aus EU-Fonds gehört Tschechien unter den neuen Beitrittsländern zu den bislang am wenigsten erfolgreichen.	As for the actual extraction of money from the EU funds, the Czech Republic is thus far among the least successful within the newly accepted countries.	The Czech Republic has been one of the least successful of the new accession countries to date in the previous Geld-Aquisition of EU funds.
Nicaraguanisches Gericht bestätigt zwanzigjährige Haftstrafe für Expräsidenten	A 20-year sentence for the ex-President of Nicaragua has been upheld by the court.	The Nicaraguan court confirms 20 years' imprisonment for ex-presidents
Ein Berufungsgericht in Nicaragua bestätigte am Donnerstag die zwanzigjährige Haftstrafe für den ehemaligen Präsidenten Arnold Alemán, zu der er 2003 wegen Finanzbetrugs in Höhe von 100 Millionen Dollar (beinahe 1,8 Milliarden Kronen) verurteilt worden war.	The Nicaraguan court of appeal upheld the 20-year sentence for the ex-President of the country, Arnoldo Alemán, in which he was convicted in 2003 for financial fraud of up to $100 million (almost 1.8 billion Czech crowns)on Thursday.	On Thursday, an appeal court in Nicaragua confirmed the 20-year prison sentence imposed on former President Arnold Alemán, to which he was sentenced in 2003 for financial fraud amounting to 100 million dollars (almost SEK 1.8 billion).
Später aber war er aus dem Gefängnis entlassen worden und lebte unter Hausarrest auf seiner Hazienda bei der nicaraguischen Metropole.	However, he was later liberated and was under house arrest at his hacienda, not far from the Nicaraguan metropolis.	Later, however, he had been released from prison and lived under house arrest on his hazienda at the Nicaraguan Metropole.
Ob das ehemalige Staatsoberhaupt (1997 bis 2002) dieses mittelamerikanischen Staates wieder hinter Gitter kommt, ist laut der Nachrichtenagentur AP derzeit unklar.	Whether the former head of this Central American state from 1997-2002 will go back behind bars, is not clear at the moment according to the Associated Press.	According to the news agency, AP, it is currently unclear whether the former head of state of Central America will be back in power (1997 to 2002).
Der Vorsitzenden des Berufungsgerichts, Ileana Pérez, zufolge wird es jetzt von den Haftbeamten abhängen, ob man Alemán seine Strafe zuhause absitzen lässt, oder ob er ins Gefängnis muss.	According to the chairperson of the court of appeal, Ileana Péréz, it will now be dependent on the custodial officials, whether they will let Aléman serve his sentence at home, or if he will go to prison.	According to Ileana Pérez, the President of the Court of Appeal, whether he is to be parted at home or be imprisoned will now depend on the officials.
Ein Gericht wies vor vier Jahren nach, dass Alemán regelmäßig Geld der Regierung auf Konten ausländischer Firmen in Panama verschoben hatte.	The court proved four years ago that Aléman had regularly shifted government money to the accounts of foreign companies in Panama.	A court ruled four years ago that Alemán had regularly transferred government money to accounts of foreign firms in Panama.
Diese Firmen waren fiktiv und die Konten gehörten in Wirklichkeit seinen Verwandten und engsten Anhängern.	These companies were imaginary and the accounts were actually held by his relatives and closest adherents.	These companies were fictitious and the accounts actually belonged to their relatives and closest supporters.
Einiges von diesem Geld landeten schließlich in einem Fonds, den Alemán zur Finanzierung seines Wahlkampfs 2001 eingerichtet hatte.	Some of the money ended up in a fund which Aléman established to finance his election campaigns in 2001.	Some of this money ended up in a fund that had been set up to finance its election campaign in 2001.
Budget ist durch	So They've Approved Our Budget	Budget has been implemented
Ja, es ist geschafft.	That's it.	Yes, it has been achieved.
Der Staatshaushalt ist gebilligt.	The state budget has been accepted.	The state budget has been approved.
Was ist an diesem Haushalt Besonderes?	What makes this budget special?	What is special about this budget?
Es ist der erste Haushalt, den diese Regierung entworfen hat, und der ohne Unterstützung der Opposition durch die Koalitionsmehrheit angenommen wurde.	It is the first budget built by this government and accepted by the coalition majority without the support of the opposition.	It is the first budget that this government has drafted and that was adopted without the support of the opposition by the coalition majority.
Der für das laufende Jahr wurde noch mit Unterstützung der ČSSD (Sozialdemokraten) gebilligt, weil ihn Minister Sobotka (von dieser Partei) vorgelegt hatte, und die ČSSD es sich deshalb nicht erlauben konnte, ihn abzulehnen.	The one for this year was passed last year still with the support of the Czech Social Democratic Party (CSSD), because it was prepared by minister Sobotka and CSSD could not afford for it to not be accepted.	The one for this year was approved with the support of the ČSD (Social Democrats), because it was presented by Minister Lópeotka (from that party), and therefore the ČSD could not allow itself to reject it.
Im Unterschied zur lebhaften Debatte vor der Abstimmung über den Misstrauensantrag gegen die Regierung geschah diesmal nichts Dramatisches.	In contrast to the animated debate before the vote of no-confidence in the government, nothing extreme has occurred this time.	Unlike the lively debate prior to the vote on the motion of censure against the government, nothing dramatic happened this time.
Das Abgeordnetenhaus billigte dieses traditionell wenig beachtete, dennoch höchst bedeutsame Gesetz in aller Ruhe.	The Chamber of Deputies has passed this traditionally overlooked but most influential law easily.	The House of Representatives approved this law, which was traditionally unrespected but nevertheless extremely important, calmly.
Das ist gewissermaßen paradox.	It is a sort of paradox.	This is somewhat paradoxical.
Alles Regieren beginnt und endet mit den einzelnen Kapiteln und Posten des Haushalts, ob einem das gefällt oder nicht.	Each governance begins and ends with the individual chapters and items of the budget, like it or not.	Governance starts and ends with the individual chapters and items of the budget, whether you like it or not.
Der Haushalt ist ein wesentlicher Bestandteil der Politik, wird aber verdeckt durch den Machtkampf der Regierung und der Opposition.	The budget is a substantial part of politics, but it is covered by the struggle for power between the government and the opposition.	The budget is an essential part of politics, but it is hidden behind the power struggle of the government and the opposition.
Das ist für die Medien ein dankbareres Thema, und deshalb widmen sie ihm mehr Aufmerksamkeit.	It is more widely appreciated by the media, that is why the media pay much more attention to it.	This is a more thankful subject for the media and they are therefore paying more attention to it.
Ein Streit unter Politikern ist für die Öffentlichkeit viel interessanter als nüchterne Zahlen.	The politicians' quarrels are much more interesting for the public than straight numbers.	A dispute between politicians is much more interesting to the public than sober figures.
Die Staatshaushalte litten bei den vergangenen sozialdemokratischen Regierungen unter drei Schwachpunkten, die der Haushalt für das Jahr 2008 nicht auf einmal beseitigen kann:	The state budgets of the past social democratic governments suffered from three maladies which 2008's budget is not able to resolve all at once:	The national budgets of the previous socialist governments have suffered from three weaknesses that the 2008 budget cannot solve at once:
Der erste ist der hohe Anteil von Ausgaben, die von Gesetzes wegen verpflichtend sind, wobei es sich nicht nur um die Renten handelt, sondern auch um Sozialausgaben, die die "stillschweigende" Koalition von ČSSD und KSČM (Kommunisten) im letzten Jahr vor den Wahlen beschlossen hat.	First, there is the high portion of the expenditures mandatory by law, the so-called mandatory expenditures, including not only pensions, but also social benefits passed last year before the elections by the silent "alliance" of CSSD and the Communist Party of Bohemia and Moravia (KSCM).	The first is the high proportion of expenditure that is legally binding, not only pensions, but also social expenditure, which was decided last year by the 'silent' coalition of ČSD and KSČM (Communists) prior to the elections.
Der zweite ist die defizitäre Haushaltspolitik als Folge des ersten Schwachpunkts.	Second, there is the deficit economy as a result of the first malady.	The second is budgetary deficit, which is the result of the first weak point.
Die dritte Einschränkung besteht in den Defiziten der öffentlichen Finanzen, d.h. den Haushaltsdefiziten der Gemeinden.	The third limit is the deficits in public financing, i.e. the budget deficit of cities and villages.	The third restriction is the deficits in public finances, in other words, the deficits of the local authorities.
Das größte Risiko ist jedoch nicht das staatliche Haushaltsdefizit.	However, the state budget deficit is not the biggest risk.	However, the greatest risk is not the public budget deficit.
Dieser Haushalt ist öffentlich und einigermaßen unter Kontrolle.	It is public and relatively under control.	This budget is public and reasonably under control.
Eine wahre Zeitbombe ist aber das Haushaltsdefizit der Gemeinden.	The time bomb here is the deficit of the budgets of cities and villages.	A real time bomb, however, is the budgetary deficit of the local authorities.
Viele Bürgermeister gaben, um außer Einnahmen aus Steuern, Abgaben und Bankkrediten weitere Quellen für Investitionen zu erschließen, oft unüberlegt Schuldverschreibungen aus, durch die sie ihre Rathäuser im Übermaß verschuldeten.	Many mayors, in order to gain resources for their investments other than the money from taxes, fees, and bank loans, often mindlessly issued securities, with which they unreasonably incurred debt for the councils.	Many mayors, in order to find other sources of investment, apart from tax, levies and bank credits, often issued bonds in an ill-considered manner, which caused them to incur excessive debt on their town hall.
In den letzten Jahren gelang es ihnen, diese Schulden durch massenhaften Verkauf von Aktien der Energie- und anderer Versorgungsnetze, die sie im Zug der Privatisierung vom Staat erhalten hatten, abzuzahlen.	In the past years, they managed to pay the debts off by the mass sale of stocks of the power and distribution networks they acquired from the state during privatization.	In recent years they have managed to pay off this debt by selling mass shares from the energy and other supply networks that they had received from the state during the privatisation process.
Jetzt ist diese Quelle bereits versiegt.	They no longer have this resource.	Now that source has already disappeared.
Soweit wir uns nur an offizielle und nachprüfbare Tatsachen halten, stellen wir fest, dass:	If we stick just to the official and certifiable facts, we discover that:	As far as we are concerned, we are merely following official and verifiable facts, and we note that:
unsere Wirtschaft schon seit einigen Jahren, wie der Rest der Welt, eine Wachstumsphase durchläuft, deren sich die ČSSD ohne Unterlass rühmt.	Our economy has already been passing through the phase of growth for a few years, as is the rest of the world, about which CSSD keeps boasting.	For several years now, like the rest of the world, our economy has been going through a period of growth, of which the ČSD is boasting.
Das stellte eine einmalige Möglichkeit für ihre Regierungen dar, die öffentlichen Finanzen in Ordnung zu bringen.	This has been a unique opportunity for its governments to put public financing in order.	This was a unique opportunity for their governments to put public finances in order.
Stattdessen verschuldeten diese Regierungen den Staat jedoch noch mehr.	But instead they continued incurring debt for the state more and more.	Instead, these governments indebted the state even more.
Andere Länder, abgesehen von ein paar Ausnahmen wie Ungarn, Albanien, Pakistan oder Ägypten, haben viel vernünftiger gewirtschaftet als unsere Republik.	Other countries, with a few exceptions such as Hungary, Albania, Pakistan or Egypt, have managed the money much more reasonably than our republic.	Other countries, apart from a few exceptions, such as Hungary, Albania, Pakistan or Egypt, have managed much more sensibly than our Republic.
Das ist eine Riesenschande, die vorwiegend den früheren Regierungen zuzuschreiben ist.	It is a huge shame, which falls mainly upon the previous governments.	This is a huge disgrace, which is largely due to the previous governments.
Wir gehören zu den Ländern, die, im globalen Maßstab gesehen, am wenigsten von Armut bedroht sind.	We are among the countries which are, measured globally, endangered by poverty to the least extent.	We are among those countries that, globally, are least at risk of poverty.
